Source IP,total_packets,total_bytes,packet_size_std,unique_target_ips,unique_target_ports,total_syn_flags,total_ack_flags,total_fin_flags,total_rst_flags,avg_ttl,avg_window_size,iat_mean,iat_std,flow_duration_sec,packets_per_second,bytes_per_second,avg_packet_size,syn_ack_ratio
0.0.0.0,120,40932,2.3457452991327563,1,1,0.0,0.0,0.0,0.0,64.0,0.0,16.945163875066932,91.20457221674538,2016.474501132965,0.0595098028428217,20.29879374968648,341.1,0.0
host_001,14,7953,681.7927120450923,1,1,0.0,0.0,0.0,0.0,232.71428571428572,37865.0,0.11725161625788762,0.25745735059032304,1.524271011352539,9.184718397010851,5217.576100816235,568.0714285714286,0.0
host_002,6,738,0.0,1,1,0.0,0.0,0.0,0.0,42.0,3968.0,137.2138174057007,54.3571141496267,686.0690870285034,0.008745474928752654,1.0756934162365765,123.0,0.0
host_003,13,6315,579.1817725386613,1,1,0.0,0.0,0.0,0.0,122.84615384615384,66776.46153846153,0.10637666781743367,0.20122565930138578,1.276520013809204,10.183937470128106,4947.043471066076,485.7692307692308,0.0
host_004,4,768,225.10590100365354,1,1,0.0,0.0,0.0,0.0,247.75,66687.75,0.007880687713623047,0.01086613150508488,0.1,40.0,7680.0,192.0,0.0
host_005,13,7281,642.4356597536262,1,1,0.0,0.0,0.0,0.0,247.69230769230768,67347.61538461539,0.016461928685506184,0.026644918060017987,0.19754314422607422,65.80840884623369,36857.77113918673,560.0769230769231,0.0
host_006,9,1573,267.93085758166126,1,1,0.0,0.0,0.0,0.0,247.55555555555554,67470.11111111111,0.026083260774612427,0.03358603870301382,0.20866608619689941,43.131110397630735,7538.359628385905,174.77777777777777,0.0
host_007,15,7150,616.2953450910954,1,1,0.0,0.0,0.0,0.0,247.93333333333334,67174.33333333333,0.011588641575404577,0.023485480203062195,0.16224098205566406,92.45506166163106,44070.24605871081,476.6666666666667,0.0
host_008,1,66,0.0,1,1,0.0,0.0,0.0,0.0,40.0,235.0,0.0,0.0,0.1,10.0,660.0,66.0,0.0
host_009,16,1114,6.701989754294367,1,14,0.0,0.0,0.0,0.0,26.9375,10037.5,128.26453946431477,247.00110204109671,1923.9680919647217,0.008316146232789695,0.5790116814579827,69.625,0.0
